"","성별","연도","교육","직종","지역","월급","나이","연령대"
"3819","여",1951,6,NA,7,NA,70,"노년"
"3820","남",1980,7,762,7,NA,41,"중년"
"3821","여",1957,3,NA,7,NA,64,"노년"
"3822","여",1939,3,941,7,27,82,"노년"
"3823","남",1936,3,941,7,20,85,"노년"
"3824","여",1940,3,941,7,20,81,"노년"
"3825","남",1942,5,NA,7,NA,79,"노년"
"3826","여",1946,3,NA,7,NA,75,"노년"
"3827","남",1971,5,751,7,NA,50,"중년"
"3828","여",1976,5,953,7,NA,45,"중년"
"3829","남",1999,7,NA,7,NA,22,"초년"
"3830","남",2001,5,751,7,NA,20,"초년"
"3831","여",2003,5,NA,7,NA,18,"초년"
"3832","여",1960,3,941,7,171,61,"노년"
"3833","남",1991,6,313,7,188,30,"중년"
"3834","여",1987,7,NA,7,NA,34,"중년"
"3835","남",1982,5,521,7,NA,39,"중년"
"3836","남",2018,1,NA,7,NA,3,"초년"
"3837","여",1936,2,941,7,27,85,"노년"
"3838","남",1960,4,873,7,NA,61,"노년"
"3839","남",1943,7,NA,7,NA,78,"노년"
"3840","남",1980,7,254,7,208,41,"중년"
"3841","여",1980,5,392,7,205,41,"중년"
"3842","여",2008,3,NA,7,NA,13,"초년"
"3843","여",2015,1,NA,7,NA,6,"초년"
"3844","여",1955,4,NA,7,NA,66,"노년"
"3845","여",1942,3,941,7,27,79,"노년"
"3846","여",1956,4,NA,7,NA,65,"노년"
"3847","여",1952,5,NA,7,NA,69,"노년"
"3848","여",1938,2,941,7,27,83,"노년"
"3849","남",1949,4,NA,7,NA,72,"노년"
"3850","남",1976,5,730,7,NA,45,"중년"
"3851","남",2003,5,NA,7,NA,18,"초년"
"3852","여",1978,5,NA,7,NA,43,"중년"
"3853","남",2012,3,NA,7,NA,9,"초년"
"3854","남",2014,1,NA,7,NA,7,"초년"
"3855","여",1940,3,NA,7,NA,81,"노년"
"3856","남",1959,3,NA,7,NA,62,"노년"
"3857","여",1956,3,NA,7,NA,65,"노년"
"3858","여",1946,2,NA,7,NA,75,"노년"
"3859","남",1973,5,NA,7,NA,48,"중년"
"3860","남",1942,5,942,7,163,79,"노년"
"3861","여",1946,3,941,7,27,75,"노년"
"3862","여",1928,2,NA,7,NA,93,"노년"
"3863","남",1954,2,NA,7,NA,67,"노년"
"3864","남",1939,3,NA,7,NA,82,"노년"
"3865","여",1944,5,NA,7,NA,77,"노년"
"3866","남",1959,4,941,7,155,62,"노년"
"3867","남",1990,5,NA,7,NA,31,"중년"
"3868","남",1945,3,NA,7,NA,76,"노년"
"3869","여",1949,3,NA,7,NA,72,"노년"
"3870","남",1977,4,930,7,80,44,"중년"
"3871","남",1978,4,930,7,170,43,"중년"
"3872","남",1980,5,930,7,150,41,"중년"
"3873","남",1974,7,231,7,236,47,"중년"
"3874","여",1975,7,NA,7,NA,46,"중년"
"3875","여",2007,3,NA,7,NA,14,"초년"
"3876","남",1967,7,312,7,750,54,"노년"
"3877","여",1969,6,244,7,181,52,"노년"
"3878","여",1999,7,NA,7,NA,22,"초년"
"3879","여",2002,5,NA,7,NA,19,"초년"
"3880","남",1955,7,922,7,NA,66,"노년"
"3881","여",1957,5,247,7,100,64,"노년"
"3882","여",1986,7,313,7,258,35,"중년"
"3883","남",1972,5,613,7,NA,49,"중년"
"3884","여",1970,5,NA,7,NA,51,"노년"
"3885","여",1997,7,NA,7,NA,24,"초년"
"3886","남",1998,7,NA,7,NA,23,"초년"
"3887","여",1933,3,NA,7,NA,88,"노년"
"3888","남",1967,5,854,7,178,54,"노년"
"3889","남",1967,6,910,7,NA,54,"노년"
"3890","여",1970,6,NA,7,NA,51,"노년"
"3891","여",1997,7,442,7,NA,24,"초년"
"3892","여",1999,7,NA,7,NA,22,"초년"
"3893","남",2004,4,NA,7,NA,17,"초년"
"3894","남",1956,4,941,7,42,65,"노년"
"3895","여",1958,4,NA,7,NA,63,"노년"
"3896","여",1985,7,314,7,90,36,"중년"
"3897","남",1986,7,NA,7,NA,35,"중년"
"3898","남",2017,1,NA,7,NA,4,"초년"
"3899","남",1941,4,799,7,NA,80,"노년"
"3900","여",1952,4,NA,7,NA,69,"노년"
"3901","여",1980,7,NA,7,NA,41,"중년"
"3902","남",2004,4,NA,7,NA,17,"초년"
"3903","남",2005,4,NA,7,NA,16,"초년"
"3904","여",2008,3,NA,7,NA,13,"초년"
"3905","남",1972,6,312,7,323,49,"중년"
"3906","여",1971,7,NA,7,NA,50,"중년"
"3907","여",2004,4,NA,7,NA,17,"초년"
"3908","남",2006,4,NA,7,NA,15,"초년"
"3909","남",1965,5,873,7,NA,56,"노년"
"3910","남",1994,5,432,7,300,27,"초년"
"3911","남",1997,7,NA,7,NA,24,"초년"
"3912","여",1967,7,531,7,203,54,"노년"
"3913","여",1991,7,442,7,216,30,"중년"
"3914","남",2001,5,NA,7,NA,20,"초년"
"3915","남",1971,5,941,7,89,50,"중년"
"3916","여",1976,4,NA,7,NA,45,"중년"
"3917","여",2005,4,NA,7,NA,16,"초년"
"3918","여",1948,4,999,7,29,73,"노년"
"3919","남",1964,5,873,7,342,57,"노년"
"3920","여",1973,5,941,7,NA,48,"중년"
"3921","남",2000,7,952,7,NA,21,"초년"
"3922","남",1994,7,254,2,206,27,"초년"
"3923","남",1964,6,862,7,212,57,"노년"
"3924","여",1972,5,991,7,NA,49,"중년"
"3925","여",1997,7,246,7,208,24,"초년"
"3926","남",1999,5,442,7,NA,22,"초년"
"3927","여",2001,5,NA,7,NA,20,"초년"
"3928","남",1942,4,NA,5,NA,79,"노년"
"3929","여",1945,3,NA,5,NA,76,"노년"
"3930","남",1963,7,311,7,583,58,"노년"
"3931","여",1964,5,521,7,230,57,"노년"
"3932","남",1989,7,NA,7,NA,32,"중년"
"3933","남",1991,7,NA,7,NA,30,"중년"
"3934","남",1935,5,NA,7,NA,86,"노년"
"3935","남",1962,5,854,7,758,59,"노년"
"3936","여",1965,5,611,7,NA,56,"노년"
"3937","남",1992,7,252,7,321,29,"초년"
"3938","남",1957,8,312,7,NA,64,"노년"
"3939","여",1959,7,NA,7,NA,62,"노년"
"3940","남",1990,7,NA,7,NA,31,"중년"
"3941","남",1963,7,311,7,583,58,"노년"
"3942","여",1967,5,NA,7,NA,54,"노년"
"3943","남",1995,7,246,7,250,26,"초년"
"3944","여",1998,7,NA,7,NA,23,"초년"
"3945","남",1965,7,NA,7,NA,56,"노년"
"3946","여",1969,7,247,7,NA,52,"노년"
"3947","여",1999,7,NA,7,NA,22,"초년"
"3948","여",2001,5,NA,7,NA,20,"초년"
"3949","남",1944,9,NA,7,NA,77,"노년"
"3950","여",1957,8,NA,7,NA,64,"노년"
"3951","여",1948,4,NA,7,NA,73,"노년"
"3952","여",1944,3,941,7,27,77,"노년"
"3953","여",1974,7,247,7,188,47,"중년"
"3954","남",1976,7,312,7,292,45,"중년"
"3955","여",2011,3,NA,7,NA,10,"초년"
"3956","여",1962,5,247,7,123,59,"노년"
"3957","남",1992,5,NA,7,NA,29,"초년"
"3958","남",1993,7,224,7,230,28,"초년"
"3959","여",1983,5,NA,7,NA,38,"중년"
"3960","남",1975,6,442,7,NA,46,"중년"
"3961","여",2014,1,NA,7,NA,7,"초년"
"3962","여",2018,1,NA,7,NA,3,"초년"
"3963","남",1939,3,NA,7,NA,82,"노년"
"3964","남",1968,7,NA,7,NA,53,"노년"
"3965","남",1970,5,853,7,289,51,"노년"
"3966","여",1983,4,853,7,138,38,"중년"
"3967","남",2011,3,NA,7,NA,10,"초년"
"3968","여",1940,2,941,7,27,81,"노년"
"3969","남",1943,4,429,7,NA,78,"노년"
"3970","여",1949,3,951,7,NA,72,"노년"
"3971","남",1976,7,252,7,633,45,"중년"
"3972","여",1982,8,311,7,380,39,"중년"
"3973","여",2011,3,NA,7,NA,10,"초년"
"3974","남",2013,1,NA,7,NA,8,"초년"
"3975","여",1942,3,NA,7,NA,79,"노년"
"3976","여",1937,2,611,7,NA,84,"노년"
"3977","남",1977,7,521,5,NA,44,"중년"
"3978","여",1978,5,399,5,180,43,"중년"
"3979","남",2006,4,NA,5,NA,15,"초년"
"3980","여",2008,3,NA,5,NA,13,"초년"
"3981","여",1957,5,521,7,NA,64,"노년"
"3982","남",1987,7,245,7,258,34,"중년"
"3983","여",1942,4,NA,7,NA,79,"노년"
"3984","남",1968,7,NA,7,NA,53,"노년"
"3985","남",1974,7,NA,7,NA,47,"중년"
"3986","남",1955,7,NA,1,NA,66,"노년"
"3987","여",1958,5,941,1,100,63,"노년"
"3988","여",1997,7,NA,1,NA,24,"초년"
"3989","여",1922,3,NA,1,NA,99,"노년"
"3990","남",1946,4,999,7,27,75,"노년"
"3991","남",1957,5,799,7,230,64,"노년"
"3992","여",1959,5,NA,7,NA,62,"노년"
"3993","남",1982,7,313,7,249,39,"중년"
"3994","남",1948,3,910,7,NA,73,"노년"
"3995","여",1958,4,NA,7,NA,63,"노년"
"3996","남",1980,5,910,7,NA,41,"중년"
"3997","여",1944,3,952,7,27,77,"노년"
"3998","남",1952,7,NA,7,NA,69,"노년"
"3999","여",1956,5,952,7,150,65,"노년"
"4000","남",1944,5,NA,7,NA,77,"노년"
"4001","여",1953,5,NA,7,NA,68,"노년"
"4002","남",1980,7,284,2,NA,41,"중년"
"4003","남",1942,5,873,7,100,79,"노년"
"4004","여",1954,5,NA,7,NA,67,"노년"
"4005","남",1962,5,799,7,NA,59,"노년"
"4006","여",1967,5,NA,7,NA,54,"노년"
"4007","여",1991,5,NA,7,NA,30,"중년"
"4008","남",1994,6,942,7,179,27,"초년"
"4009","남",1935,5,611,7,NA,86,"노년"
"4010","여",1941,3,NA,7,NA,80,"노년"
"4011","남",1958,5,521,7,NA,63,"노년"
"4012","여",1960,5,442,7,NA,61,"노년"
"4013","남",1988,6,941,7,113,33,"중년"
"4014","남",1991,7,NA,7,NA,30,"중년"
"4015","남",1951,6,NA,7,NA,70,"노년"
"4016","여",1950,4,NA,7,NA,71,"노년"
"4017","남",1982,6,432,7,NA,39,"중년"
"4018","남",1974,8,246,7,224,47,"중년"
"4019","여",1974,9,243,7,528,47,"중년"
"4020","여",2006,4,NA,7,NA,15,"초년"
"4021","남",2008,3,NA,7,NA,13,"초년"
"4022","여",1962,5,951,7,120,59,"노년"
"4023","여",2000,7,NA,7,NA,21,"초년"
"4024","남",1983,5,313,3,393,38,"중년"
"4025","여",1983,6,NA,3,NA,38,"중년"
"4026","남",2008,3,NA,3,NA,13,"초년"
"4027","남",2016,1,NA,3,NA,5,"초년"
"4028","남",1954,5,873,7,NA,67,"노년"
"4029","여",1953,5,941,7,34,68,"노년"
"4030","남",1979,5,312,7,277,42,"중년"
"4031","여",1989,6,NA,7,NA,32,"중년"
"4032","여",2016,1,NA,7,NA,5,"초년"
"4033","남",2018,1,NA,7,NA,3,"초년"
"4034","여",1955,4,951,7,NA,66,"노년"
"4035","여",1981,7,442,7,NA,40,"중년"
"4036","남",1976,7,441,7,NA,45,"중년"
"4037","남",2016,1,NA,7,NA,5,"초년"
"4038","남",2016,1,NA,7,NA,5,"초년"
"4039","여",1981,7,245,7,255,40,"중년"
"4040","남",1978,7,312,7,491,43,"중년"
"4041","여",2016,1,NA,7,NA,5,"초년"
"4042","여",1957,3,611,7,NA,64,"노년"
"4043","여",1981,6,243,5,396,40,"중년"
"4044","남",1978,7,235,5,804,43,"중년"
"4045","남",2013,1,NA,5,NA,8,"초년"
"4046","여",2015,1,NA,5,NA,6,"초년"
"4047","남",1970,5,NA,7,NA,51,"노년"
"4048","여",1999,6,442,7,NA,22,"초년"
"4049","남",1955,3,783,7,NA,66,"노년"
"4050","여",1961,3,783,7,NA,60,"노년"
"4051","남",1985,6,855,7,332,36,"중년"
"4052","남",1951,4,NA,7,NA,70,"노년"
"4053","여",1956,4,441,7,300,65,"노년"
"4054","여",1982,6,NA,7,NA,39,"중년"
"4055","남",1979,6,312,7,447,42,"중년"
"4056","여",1979,6,NA,7,NA,42,"중년"
"4057","여",2009,3,NA,7,NA,12,"초년"
"4058","남",2011,3,NA,7,NA,10,"초년"
"4059","남",1977,6,312,7,408,44,"중년"
"4060","여",1983,6,NA,7,NA,38,"중년"
"4061","남",2010,3,NA,7,NA,11,"초년"
"4062","남",2012,3,NA,7,NA,9,"초년"
"4063","여",1947,4,NA,7,NA,74,"노년"
"4064","남",1952,3,782,7,NA,69,"노년"
"4065","여",1956,3,NA,7,NA,65,"노년"
"4066","여",1981,5,521,7,200,40,"중년"
"4067","남",1942,4,611,7,NA,79,"노년"
"4068","여",1948,3,NA,7,NA,73,"노년"
"4069","남",1962,6,784,7,NA,59,"노년"
"4070","여",1964,5,999,7,65,57,"노년"
"4071","남",1990,7,NA,7,NA,31,"중년"
"4072","남",1994,7,921,7,288,27,"초년"
"4073","남",2007,3,NA,7,NA,14,"초년"
"4074","남",1952,5,NA,7,NA,69,"노년"
"4075","여",1980,6,422,7,NA,41,"중년"
"4076","남",1981,6,510,7,292,40,"중년"
"4077","남",1955,5,722,7,NA,66,"노년"
"4078","여",1967,5,722,7,NA,54,"노년"
"4079","남",1981,7,899,7,233,40,"중년"
"4080","남",1993,5,863,7,230,28,"초년"
"4081","남",1979,5,761,7,NA,42,"중년"
"4082","여",1979,6,246,7,193,42,"중년"
"4083","여",2005,4,NA,7,NA,16,"초년"
"4084","여",2007,3,NA,7,NA,14,"초년"
"4085","남",2010,3,NA,7,NA,11,"초년"
"4086","여",1959,4,421,7,202,62,"노년"
"4087","여",1988,7,313,7,232,33,"중년"
"4088","여",1998,7,521,7,NA,23,"초년"
"4089","여",1982,6,399,7,241,39,"중년"
"4090","남",1980,6,841,7,463,41,"중년"
"4091","여",2013,1,NA,7,NA,8,"초년"
"4092","여",1935,3,NA,7,NA,86,"노년"
"4093","남",1956,5,432,7,NA,65,"노년"
"4094","남",1987,5,NA,7,NA,34,"중년"
"4095","남",1987,7,312,7,271,34,"중년"
"4096","여",1962,5,442,7,187,59,"노년"
"4097","여",1956,5,NA,7,NA,65,"노년"
"4098","남",1984,8,248,7,NA,37,"중년"
"4099","여",1980,6,NA,2,NA,41,"중년"
"4100","남",1980,6,235,2,500,41,"중년"
"4101","여",2014,1,NA,2,NA,7,"초년"
"4102","남",2017,1,NA,2,NA,4,"초년"
"4103","남",1966,4,NA,7,NA,55,"노년"
"4104","여",1939,3,NA,7,NA,82,"노년"
"4105","남",1952,3,NA,7,NA,69,"노년"
"4106","남",1978,6,783,7,NA,43,"중년"
"4107","여",1951,3,NA,7,NA,70,"노년"
"4108","여",1961,3,NA,7,NA,60,"노년"
"4109","남",1987,5,NA,7,NA,34,"중년"
"4110","여",1948,4,951,7,NA,73,"노년"
"4111","여",1967,5,NA,7,NA,54,"노년"
"4112","남",1944,2,NA,7,NA,77,"노년"
"4113","남",1975,5,953,7,150,46,"중년"
"4114","여",1953,3,NA,7,NA,68,"노년"
"4115","여",1964,4,NA,7,NA,57,"노년"
"4116","남",1990,7,819,7,321,31,"중년"
"4117","여",1994,7,NA,7,NA,27,"초년"
"4118","남",1950,5,NA,5,NA,71,"노년"
"4119","여",1952,3,NA,5,NA,69,"노년"
"4120","여",1960,5,899,7,208,61,"노년"
"4121","여",1988,7,313,2,458,33,"중년"
"4122","남",1987,8,399,2,300,34,"중년"
"4123","여",1988,7,273,1,363,33,"중년"
"4124","남",1988,7,730,1,250,33,"중년"
"4125","남",1961,3,910,7,NA,60,"노년"
"4126","여",1995,5,NA,7,NA,26,"초년"
"4127","남",1994,5,922,7,NA,27,"초년"
"4128","남",2018,1,NA,7,NA,3,"초년"
"4129","여",1931,2,NA,7,NA,90,"노년"
"4130","남",1952,5,NA,7,NA,69,"노년"
"4131","여",1961,4,NA,7,NA,60,"노년"
"4132","여",1987,6,NA,7,NA,34,"중년"
"4133","여",1933,4,NA,7,NA,88,"노년"
"4134","남",1970,7,311,5,458,51,"노년"
"4135","여",1971,7,NA,5,NA,50,"중년"
"4136","남",2005,4,NA,5,NA,16,"초년"
"4137","남",2007,3,NA,5,NA,14,"초년"
"4138","남",1967,5,NA,7,NA,54,"노년"
"4139","여",1969,5,442,7,81,52,"노년"
"4140","남",1994,5,314,7,218,27,"초년"
"4141","남",1953,7,510,7,200,68,"노년"
"4142","여",1960,7,132,7,NA,61,"노년"
"4143","남",1986,7,159,7,NA,35,"중년"
"4144","남",1962,6,873,7,NA,59,"노년"
"4145","여",1967,5,521,7,NA,54,"노년"
"4146","여",1993,7,NA,7,NA,28,"초년"
"4147","남",1995,7,NA,7,NA,26,"초년"
"4148","남",1955,5,132,7,758,66,"노년"
"4149","여",1956,5,611,7,NA,65,"노년"
"4150","여",1981,7,272,7,650,40,"중년"
"4151","남",1979,7,311,7,414,42,"중년"
"4152","여",2011,3,NA,7,NA,10,"초년"
"4153","남",2015,1,NA,7,NA,6,"초년"
"4154","여",1984,6,521,7,150,37,"중년"
"4155","남",1978,5,782,7,NA,43,"중년"
"4156","남",2007,3,NA,7,NA,14,"초년"
"4157","남",2009,3,NA,7,NA,12,"초년"
"4158","남",1942,3,NA,7,NA,79,"노년"
"4159","여",1947,4,NA,7,NA,74,"노년"
"4160","여",1975,6,421,7,360,46,"중년"
"4161","여",1973,6,254,7,80,48,"중년"
"4162","남",1997,7,NA,7,NA,24,"초년"
"4163","여",2000,7,NA,7,NA,21,"초년"
"4164","남",1976,7,841,7,330,45,"중년"
"4165","여",1979,7,247,7,399,42,"중년"
"4166","여",2007,3,NA,7,NA,14,"초년"
"4167","여",2011,3,NA,7,NA,10,"초년"
"4168","여",2011,3,NA,7,NA,10,"초년"
"4169","남",2015,1,NA,7,NA,6,"초년"
"4170","남",1963,5,854,7,850,58,"노년"
"4171","여",1964,7,NA,7,NA,57,"노년"
"4172","여",1993,7,NA,7,NA,28,"초년"
"4173","남",1974,6,864,7,242,47,"중년"
"4174","여",1977,6,421,7,233,44,"중년"
"4175","여",2003,5,NA,7,NA,18,"초년"
"4176","여",2006,4,NA,7,NA,15,"초년"
"4177","여",1953,3,NA,7,NA,68,"노년"
"4178","남",1971,5,852,7,385,50,"중년"
"4179","여",1977,6,272,7,250,44,"중년"
"4180","여",2000,6,NA,7,NA,21,"초년"
"4181","여",2004,4,NA,7,NA,17,"초년"
"4182","남",2008,3,NA,7,NA,13,"초년"
"4183","여",1941,3,NA,7,NA,80,"노년"
"4184","남",1969,5,910,7,NA,52,"노년"
"4185","남",1962,5,248,5,100,59,"노년"
"4186","여",1966,6,248,5,100,55,"노년"
"4187","남",1998,7,429,5,117,23,"초년"
"4188","여",1942,4,NA,2,NA,79,"노년"
"4189","남",1974,7,NA,2,NA,47,"중년"
"4190","남",1954,4,NA,5,NA,67,"노년"
"4191","여",1954,3,NA,5,NA,67,"노년"
"4192","여",1949,2,951,7,40,72,"노년"
"4193","남",1973,5,841,7,239,48,"중년"
"4194","남",2008,3,NA,7,NA,13,"초년"
"4195","남",1975,5,151,7,331,46,"중년"
"4196","여",1980,6,NA,7,NA,41,"중년"
"4197","남",2007,3,NA,7,NA,14,"초년"
"4198","남",2011,3,NA,7,NA,10,"초년"
"4199","여",1944,5,NA,7,NA,77,"노년"
"4200","남",1980,8,320,7,342,41,"중년"
"4201","여",1935,2,NA,7,NA,86,"노년"
"4202","남",1954,7,139,7,280,67,"노년"
"4203","여",1960,5,247,7,131,61,"노년"
"4204","여",1986,7,281,1,390,35,"중년"
"4205","여",1988,7,NA,1,NA,33,"중년"
"4206","남",1982,8,234,1,542,39,"중년"
"4207","남",2015,1,NA,1,NA,6,"초년"
"4208","남",1971,5,910,7,NA,50,"중년"
"4209","남",1999,5,930,7,210,22,"초년"
"4210","여",1939,3,941,7,23,82,"노년"
"4211","남",1974,7,312,7,838,47,"중년"
"4212","여",1975,7,259,7,366,46,"중년"
"4213","여",2004,4,NA,7,NA,17,"초년"
"4214","여",1934,3,NA,7,NA,87,"노년"
"4215","남",1969,5,751,7,480,52,"노년"
"4216","여",1972,5,NA,7,NA,49,"중년"
"4217","여",2002,5,NA,7,NA,19,"초년"
"4218","여",2004,4,NA,7,NA,17,"초년"
"4219","남",1956,7,941,7,198,65,"노년"
"4220","여",1957,5,313,7,NA,64,"노년"
"4221","남",1963,5,149,7,350,58,"노년"
"4222","여",1970,5,NA,7,NA,51,"노년"
"4223","여",1992,7,312,7,375,29,"초년"
"4224","남",1992,6,751,7,518,29,"초년"
"4225","남",1961,5,784,7,NA,60,"노년"
"4226","여",1966,5,NA,7,NA,55,"노년"
"4227","남",1990,5,NA,7,NA,31,"중년"
"4228","여",1998,7,NA,7,NA,23,"초년"
"4229","남",1969,7,411,7,500,52,"노년"
"4230","여",1971,7,246,7,200,50,"중년"
"4231","여",1998,7,NA,7,NA,23,"초년"
"4232","남",2000,7,NA,7,NA,21,"초년"
"4233","남",1939,3,NA,7,NA,82,"노년"
"4234","여",1936,3,NA,7,NA,85,"노년"
"4235","남",1972,7,312,7,538,49,"중년"
"4236","여",1974,6,NA,7,NA,47,"중년"
"4237","남",2003,5,NA,7,NA,18,"초년"
"4238","남",2005,4,NA,7,NA,16,"초년"
"4239","여",1954,3,NA,7,NA,67,"노년"
"4240","남",1999,5,930,7,183,22,"초년"
"4241","남",1937,4,NA,7,NA,84,"노년"
"4242","여",1943,3,NA,7,NA,78,"노년"
"4243","남",1947,3,910,7,252,74,"노년"
"4244","여",1947,3,941,7,168,74,"노년"
"4245","남",1969,7,510,7,705,52,"노년"
"4246","여",1971,5,NA,7,NA,50,"중년"
"4247","남",1998,7,521,7,NA,23,"초년"
"4248","남",2000,6,NA,7,NA,21,"초년"
"4249","남",1969,5,312,7,733,52,"노년"
"4250","여",1968,5,NA,7,NA,53,"노년"
"4251","여",1996,6,422,7,180,25,"초년"
"4252","남",1965,7,842,7,917,56,"노년"
"4253","여",1968,5,NA,7,NA,53,"노년"
"4254","여",1993,7,NA,7,NA,28,"초년"
"4255","남",1994,7,783,7,NA,27,"초년"
"4256","여",1949,6,NA,7,NA,72,"노년"
"4257","남",1944,4,NA,7,NA,77,"노년"
"4258","여",1948,3,NA,7,NA,73,"노년"
"4259","여",1972,5,930,5,192,49,"중년"
"4260","남",1995,7,259,5,104,26,"초년"
"4261","남",1997,5,NA,5,NA,24,"초년"
"4262","여",1941,2,NA,5,NA,80,"노년"
"4263","여",1962,3,NA,5,NA,59,"노년"
"4264","여",1937,5,NA,5,NA,84,"노년"
"4265","여",1938,3,NA,5,NA,83,"노년"
"4266","남",1974,6,921,5,192,47,"중년"
"4267","여",1929,2,NA,5,NA,92,"노년"
"4268","여",1975,8,442,5,114,46,"중년"
"4269","여",2001,5,NA,5,NA,20,"초년"
"4270","여",1925,2,NA,1,NA,96,"노년"
"4271","여",1949,3,421,1,65,72,"노년"
"4272","남",1945,3,NA,1,NA,76,"노년"
"4273","여",1947,3,NA,5,NA,74,"노년"
"4274","남",1934,7,NA,5,NA,87,"노년"
"4275","여",1944,3,NA,5,NA,77,"노년"
"4276","여",1964,5,NA,5,NA,57,"노년"
"4277","남",2006,4,NA,5,NA,15,"초년"
"4278","여",1988,5,NA,5,NA,33,"중년"
"4279","남",1984,6,832,5,427,37,"중년"
"4280","남",2018,1,NA,5,NA,3,"초년"
"4281","여",1942,3,NA,5,NA,79,"노년"
"4282","남",1986,5,930,5,524,35,"중년"
"4283","여",1986,5,NA,5,NA,35,"중년"
"4284","여",2009,3,NA,5,NA,12,"초년"
"4285","여",2011,3,NA,5,NA,10,"초년"
"4286","남",1936,3,NA,5,NA,85,"노년"
"4287","남",1949,3,NA,5,NA,72,"노년"
"4288","여",1947,3,NA,5,NA,74,"노년"
"4289","여",1970,5,313,5,388,51,"노년"
"4290","여",1996,7,442,5,50,25,"초년"
"4291","여",1953,3,952,5,75,68,"노년"
"4292","여",1942,2,NA,5,NA,79,"노년"
"4293","여",1959,4,941,5,200,62,"노년"
"4294","남",1949,4,882,5,300,72,"노년"
"4295","여",1956,5,510,5,250,65,"노년"
"4296","여",1977,7,NA,5,NA,44,"중년"
"4297","남",1977,7,121,5,532,44,"중년"
"4298","남",2008,3,NA,5,NA,13,"초년"
"4299","여",2010,3,NA,5,NA,11,"초년"
"4300","여",1932,4,NA,5,NA,89,"노년"
"4301","남",1950,4,792,5,NA,71,"노년"
"4302","여",1954,3,611,5,NA,67,"노년"
"4303","여",1969,3,NA,5,NA,52,"노년"
"4304","여",1989,5,NA,5,NA,32,"중년"
"4305","남",1987,7,222,5,382,34,"중년"
"4306","여",1987,6,243,5,350,34,"중년"
"4307","여",1942,3,941,5,50,79,"노년"
"4308","남",1994,6,399,5,168,27,"초년"
"4309","여",1937,3,999,5,27,84,"노년"
"4310","남",1961,5,992,5,47,60,"노년"
"4311","여",1946,3,NA,5,NA,75,"노년"
"4312","남",1967,7,132,5,1213,54,"노년"
"4313","여",1971,7,259,5,42,50,"중년"
"4314","여",2000,7,NA,5,NA,21,"초년"
"4315","남",1944,8,NA,5,NA,77,"노년"
"4316","여",1950,7,NA,5,NA,71,"노년"
"4317","여",1975,7,NA,5,NA,46,"중년"
"4318","남",1973,7,874,5,NA,48,"중년"
"4319","여",2008,3,NA,5,NA,13,"초년"
"4320","남",2008,3,NA,5,NA,13,"초년"
"4321","남",1955,7,442,5,NA,66,"노년"
"4322","여",1961,5,442,5,NA,60,"노년"
"4323","남",1963,5,141,5,NA,58,"노년"
"4324","여",1966,5,421,5,151,55,"노년"
"4325","남",1995,7,921,5,200,26,"초년"
"4326","남",1993,6,531,5,NA,28,"초년"
"4327","남",1969,8,252,5,657,52,"노년"
"4328","여",1971,7,314,5,184,50,"중년"
"4329","남",2003,5,NA,5,NA,18,"초년"
"4330","남",2004,4,NA,5,NA,17,"초년"
"4331","남",1955,7,NA,5,NA,66,"노년"
"4332","여",1955,8,NA,5,NA,66,"노년"
"4333","남",1983,7,259,5,160,38,"중년"
"4334","여",1993,7,283,5,405,28,"초년"
"4335","여",1930,4,NA,5,NA,91,"노년"
"4336","남",1940,5,999,5,50,81,"노년"
"4337","여",1946,4,NA,5,NA,75,"노년"
"4338","남",1948,5,NA,5,NA,73,"노년"
"4339","여",1954,5,951,5,NA,67,"노년"
"4340","남",1979,7,312,5,768,42,"중년"
"4341","여",1985,7,320,5,442,36,"중년"
"4342","여",2011,3,NA,5,NA,10,"초년"
"4343","여",1928,3,NA,7,NA,93,"노년"
"4344","남",1954,5,922,5,70,67,"노년"
"4345","여",1961,5,NA,5,NA,60,"노년"
"4346","여",1931,2,NA,5,NA,90,"노년"
"4347","남",1965,7,141,5,800,56,"노년"
"4348","여",1971,6,521,5,NA,50,"중년"
"4349","여",1932,2,NA,5,NA,89,"노년"
"4350","여",1948,4,NA,5,NA,73,"노년"
"4351","여",1966,5,721,5,180,55,"노년"
"4352","남",1967,4,NA,5,NA,54,"노년"
"4353","여",1964,3,441,5,200,57,"노년"
"4354","남",1997,6,510,5,180,24,"초년"
"4355","남",1968,6,910,5,333,53,"노년"
"4356","여",1968,7,999,5,250,53,"노년"
"4357","남",1996,7,429,5,67,25,"초년"
"4358","여",1999,7,442,5,50,22,"초년"
"4359","여",1935,5,NA,5,NA,86,"노년"
"4360","남",1952,8,133,5,800,69,"노년"
"4361","여",1956,8,259,5,42,65,"노년"
"4362","남",1964,8,233,5,633,57,"노년"
"4363","여",1967,5,421,5,308,54,"노년"
"4364","여",1992,7,285,5,229,29,"초년"
"4365","남",1998,5,NA,5,NA,23,"초년"
"4366","여",1991,7,313,5,288,30,"중년"
"4367","남",1933,4,NA,5,NA,88,"노년"
"4368","여",1936,3,NA,5,NA,85,"노년"
"4369","남",1946,5,NA,5,NA,75,"노년"
"4370","여",1949,4,NA,5,NA,72,"노년"
"4371","남",1942,7,NA,4,NA,79,"노년"
"4372","여",1944,7,NA,4,NA,77,"노년"
